AirportID,Name,City,Country,IATA,ICAO,Start_Latitude,Start_Longitude,Altitude,TimeZone,Type,Final_Longitude,Final_Latitude
6382,Quzhou Airport,Quzhou,China,JUZ,ZSJU,28.965799,118.899002,0,8.0,airport,114.208,30.7838
6383,Lianyungang Airport,Lianyungang,China,LYG,ZSLG,34.571667,118.87361100000001,0,8.0,airport,114.208,30.7838
6384,Huangyan Luqiao Airport,Huangyan,China,HYN,ZSLQ,28.562200546264602,121.429000854492,0,8.0,airport,114.208,30.7838
6387,Tunxi International Airport,Huangshan,China,TXN,ZSTX,29.733299255371104,118.255996704102,0,8.0,airport,114.208,30.7838
6388,Weifang Airport,Weifang,China,WEF,ZSWF,36.64670200000001,119.119003,0,8.0,airport,114.208,30.7838
6389,Weihai Airport,Weihai,China,WEH,ZSWH,37.1870994567871,122.22899627685499,145,8.0,airport,114.208,30.7838
6390,Sunan Shuofang International Airport,Wuxi,China,WUX,ZSWX,31.4944000244,120.429000854,24,8.0,airport,114.208,30.7838
6391,Nanping Wuyishan Airport,Wuyishan,China,WUS,ZSWY,27.7019,118.000999,614,8.0,airport,114.208,30.7838
6393,Yancheng Airport,Yancheng,China,YNZ,ZSYN,33.425833000000004,120.203056,0,8.0,airport,114.208,30.7838
6395,Zhoushan Airport,Zhoushan,China,HSN,ZSZS,29.9342002869,122.36199951200001,3,8.0,airport,114.208,30.7838
6396,Qamdo Bangda Airport,Bangda,China,BPX,ZUBD,30.5536003112793,97.1082992553711,14219,8.0,airport,114.208,30.7838
6400,Mianyang Airport,Mianyang,China,MIG,ZUMY,31.4281005859375,104.740997314453,0,8.0,airport,114.208,30.7838
6401,Nanchong Airport,Nanchong,China,NAO,ZUNC,30.79545,106.1626,0,8.0,airport,114.208,30.7838
6403,Wanxian Airport,Wanxian,China,WXN,ZUWX,30.8017,108.43299999999999,0,8.0,airport,114.208,30.7838
6405,Qiemo Yudu Airport,Qiemo,China,IQM,ZWCM,38.233610999999996,85.465556,0,8.0,airport,114.208,30.7838
6407,Korla Airport,Korla,China,KRL,ZWKL,41.6977996826172,86.12889862060551,0,8.0,airport,114.208,30.7838
6408,Karamay Airport,Karamay,China,KRY,ZWKM,45.46655,84.9527,0,8.0,airport,114.208,30.7838
6409,Yining Airport,Yining,China,YIN,ZWYN,43.955799,81.330299,0,8.0,airport,114.208,30.7838
6411,Jiamusi Airport,Jiamusi,China,JMU,ZYJM,46.8433990479,130.464996338,262,8.0,airport,114.208,30.7838
6413,Qiqihar Sanjiazi Airport,Qiqihar,China,NDG,ZYQQ,47.2396011352539,123.917999267578,477,8.0,airport,114.208,30.7838
6414,Yanji Chaoyangchuan Airport,Yanji,China,YNJ,ZYYJ,42.8828010559,129.451004028,624,8.0,airport,114.208,30.7838
6429,Shanhaiguan Airport,Qinhuangdao,China,SHP,ZBSH,39.968102,119.731003,30,8.0,airport,114.208,30.7838
6431,Lanzhou City Airport,Lanzhou,China,,ZLAN,36.033333,103.86667,5040,8.0,airport,114.208,30.7838
6432,Jiayuguan Airport,Jiayuguan,China,JGN,ZLJQ,39.856899,98.3414,5112,8.0,airport,114.208,30.7838
6433,Dandong Airport,Dandong,China,DDG,ZYDD,40.0247,124.28600300000001,30,8.0,airport,114.208,30.7838
6435,Bao'anying Airport,Panzhihua,China,PZI,ZUZH,26.54,101.79852,1620,8.0,airport,114.208,30.7838
6743,Hami Airport,Hami,China,HMI,ZWHM,42.8414,93.669197,2703,8.0,airport,114.208,30.7838
6744,Wuzhou Changzhoudao Airport,Wuzhou,China,WUZ,ZGWZ,23.456699,111.248001,89,8.0,airport,114.208,30.7838
6752,Tacheng Airport,Tacheng,China,TCG,ZWTC,46.6725006103516,83.3407974243164,0,8.0,airport,114.208,30.7838
6944,Jining Qufu Airport,Jining,China,JNG,ZLJN,35.29277800000001,116.346667,134,8.0,airport,114.208,30.7838
6946,Altay Air Base,Altay,China,AAT,ZWAT,47.7498855591,88.0858078003,2460,8.0,airport,114.208,30.7838
6954,Manzhouli Xijiao Airport,Manzhouli,China,NZH,ZBMZ,49.566666999999995,117.33,2231,8.0,airport,114.208,30.7838
6964,Jinggangshan Airport,Jian,China,JGS,ZSJA,26.8568992615,114.73699951200001,281,8.0,airport,114.208,30.7838
7458,Huizhou Airport,Huizhou,China,HUZ,ZGHZ,23.0499992371,114.599998474,50,8.0,airport,114.208,30.7838
7504,Longyan Guanzhishan Airport,Longyan,China,LCX,ZSLD,25.6746997833,116.747001648,1225,8.0,airport,114.208,30.7838
7506,Xingyi Airport,Xingyi,China,ACX,ZUYI,25.0863888889,104.959444444,4150,8.0,airport,114.208,30.7838
7508,Liping Airport,Liping,China,HZH,ZUNP,26.32217,109.1499,1620,8.0,airport,114.208,30.7838
7519,Zhijiang Airport,Zhijiang,China,HJJ,ZGCJ,27.4411111111,109.7,882,8.0,airport,114.208,30.7838
